participant_id,cohort_year,total_sessions_offered,sessions_attended,sessions_excused,sessions_absent,attendance_rate,total_hours,avg_session_length,test_prep_sessions,college_planning_sessions,tutoring_sessions,program_start_date,program_end_date,consistent_attendance,high_engagement,engagement_level
CYC2019207,2019,32,25,1,6,78.1,53,2.1,4,6,4,2019-09-15,2020-04-19,TRUE,FALSE,Moderate Engagement
CYC2019208,2019,33,24,2,7,72.7,50.5,2.1,5,1,3,2019-09-10,2020-04-21,FALSE,FALSE,Moderate Engagement
CYC2019209,2019,28,22,1,5,78.6,47.5,2.2,3,3,3,2019-08-24,2020-02-29,TRUE,FALSE,Low Engagement
CYC2019210,2019,30,23,1,6,76.7,50.5,2.2,0,2,7,2019-10-10,2020-04-30,TRUE,FALSE,Moderate Engagement
CYC2019211,2019,28,18,3,7,64.3,38,2.1,5,0,3,2019-09-11,2020-03-18,FALSE,FALSE,Low Engagement
CYC2019212,2019,32,22,0,10,68.8,48,2.2,2,1,1,2019-10-07,2020-05-11,FALSE,FALSE,Low Engagement
CYC2019213,2019,31,25,0,6,80.6,56.5,2.3,4,3,5,2019-09-20,2020-04-17,TRUE,FALSE,Moderate Engagement
CYC2019214,2019,30,24,1,5,80,49.5,2.1,1,8,2,2019-08-24,2020-03-14,TRUE,FALSE,Low Engagement
CYC2019215,2019,30,24,2,4,80,52.5,2.2,1,5,4,2019-10-02,2020-04-22,TRUE,FALSE,Moderate Engagement
CYC2019216,2019,30,25,0,5,83.3,58.5,2.3,2,2,4,2019-10-02,2020-04-22,TRUE,FALSE,Moderate Engagement
CYC2020001,2020,30,22,1,7,73.3,48.5,2.2,3,1,6,2020-09-11,2021-04-02,FALSE,FALSE,Low Engagement
CYC2020002,2020,30,18,4,8,60,37.5,2.1,4,3,5,2020-10-07,2021-04-28,FALSE,FALSE,Low Engagement
CYC2020003,2020,31,23,0,8,74.2,47.5,2.1,1,3,5,2020-08-23,2021-03-21,FALSE,FALSE,Low Engagement
CYC2020004,2020,31,23,1,7,74.2,48.5,2.1,5,7,2,2020-09-05,2021-04-03,FALSE,FALSE,Low Engagement
CYC2020005,2020,34,28,1,5,82.4,58.5,2.1,6,2,6,2020-08-25,2021-04-13,TRUE,FALSE,Moderate Engagement
CYC2020006,2020,35,22,4,9,62.9,47,2.1,2,3,2,2020-09-13,2021-05-09,FALSE,FALSE,Low Engagement
CYC2020007,2020,31,22,2,7,71,46,2.1,5,2,3,2020-10-03,2021-05-01,FALSE,FALSE,Low Engagement
CYC2020008,2020,29,22,1,6,75.9,45.5,2.1,1,4,5,2020-10-01,2021-04-15,TRUE,FALSE,Low Engagement
CYC2020009,2020,28,20,3,5,71.4,40.5,2,4,4,3,2020-09-25,2021-04-02,FALSE,FALSE,Low Engagement
CYC2020010,2020,35,24,1,10,68.6,53,2.2,7,2,3,2020-09-21,2021-05-17,FALSE,FALSE,Low Engagement
CYC2020011,2020,31,26,0,5,83.9,56.5,2.2,5,4,4,2020-09-28,2021-04-26,TRUE,FALSE,Moderate Engagement
CYC2020012,2020,29,21,2,6,72.4,48.5,2.3,4,1,5,2020-09-11,2021-03-26,FALSE,FALSE,Low Engagement
CYC2020013,2020,34,25,4,5,73.5,56.5,2.3,3,5,1,2020-09-16,2021-05-05,FALSE,FALSE,Moderate Engagement
CYC2020014,2020,29,25,2,2,86.2,48.5,1.9,2,3,4,2020-09-23,2021-04-07,TRUE,FALSE,Low Engagement
CYC2020015,2020,28,18,1,9,64.3,38,2.1,4,3,3,2020-08-28,2021-03-05,FALSE,FALSE,Low Engagement
CYC2020016,2020,31,29,1,1,93.5,64,2.2,5,6,4,2020-09-16,2021-04-14,TRUE,TRUE,Moderate Engagement
CYC2020017,2020,32,28,1,3,87.5,59.5,2.1,2,6,4,2020-10-03,2021-05-08,TRUE,FALSE,Moderate Engagement
CYC2020018,2020,29,23,1,5,79.3,48,2.1,2,4,3,2020-09-23,2021-04-07,TRUE,FALSE,Low Engagement
CYC2020019,2020,36,20,1,15,55.6,43,2.1,3,1,3,2020-09-10,2021-05-13,FALSE,FALSE,Low Engagement
CYC2020020,2020,29,21,2,6,72.4,45,2.1,3,4,7,2020-09-09,2021-03-24,FALSE,FALSE,Low Engagement
CYC2020021,2020,30,26,1,3,86.7,61,2.3,7,2,4,2020-10-11,2021-05-02,TRUE,TRUE,Moderate Engagement
CYC2020022,2020,32,23,0,9,71.9,47.5,2.1,2,3,1,2020-09-20,2021-04-25,FALSE,FALSE,Low Engagement
CYC2020023,2020,36,25,1,10,69.4,57,2.3,3,4,5,2020-08-19,2021-04-21,FALSE,FALSE,Low Engagement
CYC2020024,2020,35,23,1,11,65.7,49.5,2.2,3,5,6,2020-09-08,2021-05-04,FALSE,FALSE,Low Engagement
CYC2020025,2020,33,23,1,9,69.7,47.5,2.1,1,2,2,2020-09-03,2021-04-15,FALSE,FALSE,Low Engagement
CYC2020026,2020,33,24,3,6,72.7,51,2.1,4,5,1,2020-08-15,2021-03-27,FALSE,FALSE,Moderate Engagement
CYC2020027,2020,29,23,3,3,79.3,47,2,2,1,2,2020-08-26,2021-03-10,TRUE,FALSE,Low Engagement
CYC2020028,2020,33,26,2,5,78.8,56,2.2,5,3,3,2020-08-19,2021-03-31,TRUE,FALSE,Moderate Engagement
CYC2020029,2020,28,21,1,6,75,42.5,2,1,2,3,2020-08-18,2021-02-23,TRUE,FALSE,Low Engagement
CYC2020030,2020,34,24,3,7,70.6,52.5,2.2,2,3,5,2020-08-15,2021-04-03,FALSE,FALSE,Moderate Engagement
CYC2020031,2020,33,29,1,3,87.9,64.5,2.2,6,4,4,2020-09-12,2021-04-24,TRUE,TRUE,Moderate Engagement
CYC2020032,2020,29,22,0,7,75.9,49,2.2,3,4,1,2020-09-17,2021-04-01,TRUE,FALSE,Low Engagement
CYC2020033,2020,34,24,2,8,70.6,50,2.1,4,2,8,2020-10-09,2021-05-28,FALSE,FALSE,Moderate Engagement
CYC2020034,2020,28,24,1,3,85.7,51,2.1,2,2,7,2020-09-01,2021-03-09,TRUE,FALSE,Moderate Engagement
CYC2020035,2020,34,25,3,6,73.5,57.5,2.3,4,6,2,2020-09-04,2021-04-23,FALSE,FALSE,Moderate Engagement
CYC2020036,2020,31,23,2,6,74.2,48,2.1,3,2,5,2020-10-11,2021-05-09,FALSE,FALSE,Low Engagement
CYC2020037,2020,30,25,2,3,83.3,55.5,2.2,3,3,1,2020-09-25,2021-04-16,TRUE,FALSE,Moderate Engagement
CYC2020038,2020,32,26,1,5,81.2,53,2,5,4,2,2020-09-12,2021-04-17,TRUE,FALSE,Moderate Engagement
CYC2020039,2020,36,20,3,13,55.6,38.5,1.9,3,1,2,2020-09-19,2021-05-22,FALSE,FALSE,Low Engagement
CYC2020040,2020,36,28,1,7,77.8,63.5,2.3,3,6,3,2020-08-28,2021-04-30,TRUE,TRUE,Moderate Engagement
CYC2020041,2020,36,23,4,9,63.9,51,2.2,3,0,1,2020-09-13,2021-05-16,FALSE,FALSE,Low Engagement
CYC2020042,2020,29,18,4,7,62.1,39.5,2.2,6,1,1,2020-09-26,2021-04-10,FALSE,FALSE,Low Engagement
CYC2020043,2020,31,26,0,5,83.9,53.5,2.1,3,3,3,2020-09-22,2021-04-20,TRUE,FALSE,Moderate Engagement
CYC2020044,2020,29,21,1,7,72.4,44.5,2.1,4,3,4,2020-10-04,2021-04-18,FALSE,FALSE,Low Engagement
CYC2020045,2020,31,25,1,5,80.6,57.5,2.3,5,0,2,2020-09-01,2021-03-30,TRUE,FALSE,Moderate Engagement
CYC2020046,2020,32,26,1,5,81.2,59.5,2.3,4,3,4,2020-08-23,2021-03-28,TRUE,FALSE,Moderate Engagement
CYC2020047,2020,35,28,3,4,80,62.5,2.2,5,6,4,2020-09-08,2021-05-04,TRUE,TRUE,Moderate Engagement
CYC2020048,2020,35,26,3,6,74.3,54.5,2.1,3,3,6,2020-08-31,2021-04-26,FALSE,FALSE,Moderate Engagement
CYC2020049,2020,28,18,2,8,64.3,38.5,2.1,1,0,7,2020-09-08,2021-03-16,FALSE,FALSE,Low Engagement
CYC2020050,2020,32,22,2,8,68.8,48,2.2,2,3,1,2020-10-08,2021-05-13,FALSE,FALSE,Low Engagement
CYC2020051,2020,31,26,0,5,83.9,56,2.2,6,1,6,2020-08-29,2021-03-27,TRUE,FALSE,Moderate Engagement
CYC2020052,2020,35,32,2,1,91.4,68.5,2.1,2,7,3,2020-10-11,2021-06-06,TRUE,TRUE,Moderate Engagement
CYC2020053,2020,32,24,3,5,75,51.5,2.1,2,5,3,2020-09-30,2021-05-05,TRUE,FALSE,Moderate Engagement
CYC2020054,2020,31,25,2,4,80.6,57,2.3,2,3,4,2020-09-17,2021-04-15,TRUE,FALSE,Moderate Engagement
CYC2020055,2020,29,25,1,3,86.2,55,2.2,2,5,6,2020-09-06,2021-03-21,TRUE,FALSE,Moderate Engagement
CYC2020056,2020,29,23,1,5,79.3,50.5,2.2,1,1,2,2020-09-14,2021-03-29,TRUE,FALSE,Moderate Engagement
CYC2020057,2020,31,24,0,7,77.4,51.5,2.1,1,3,1,2020-10-07,2021-05-05,TRUE,FALSE,Moderate Engagement
CYC2020058,2020,33,30,1,2,90.9,65.5,2.2,4,6,3,2020-10-10,2021-05-22,TRUE,TRUE,Moderate Engagement
CYC2020059,2020,28,21,0,7,75,45.5,2.2,4,1,2,2020-09-25,2021-04-02,TRUE,FALSE,Low Engagement
CYC2020060,2020,29,22,2,5,75.9,46,2.1,4,3,2,2020-10-03,2021-04-17,TRUE,FALSE,Low Engagement
CYC2020061,2020,33,22,2,9,66.7,48,2.2,4,1,5,2020-09-16,2021-04-28,FALSE,FALSE,Low Engagement
CYC2020062,2020,33,20,4,9,60.6,41.5,2.1,3,4,5,2020-10-13,2021-05-25,FALSE,FALSE,Low Engagement
CYC2020063,2020,31,25,1,5,80.6,49.5,2,6,5,2,2020-08-27,2021-03-25,TRUE,FALSE,Low Engagement
CYC2020064,2020,28,23,1,4,82.1,48.5,2.1,5,4,4,2020-10-07,2021-04-14,TRUE,FALSE,Low Engagement
CYC2020065,2020,32,22,1,9,68.8,48.5,2.2,3,4,4,2020-08-17,2021-03-22,FALSE,FALSE,Low Engagement
CYC2020066,2020,34,27,2,5,79.4,58,2.1,3,6,1,2020-08-27,2021-04-15,TRUE,FALSE,Moderate Engagement
CYC2020067,2020,32,24,2,6,75,49.5,2.1,5,6,2,2020-09-09,2021-04-14,TRUE,FALSE,Low Engagement
CYC2020068,2020,34,19,3,12,55.9,38.5,2,5,0,3,2020-09-01,2021-04-20,FALSE,FALSE,Low Engagement
CYC2020069,2020,28,21,1,6,75,46,2.2,2,2,7,2020-10-12,2021-04-19,TRUE,FALSE,Low Engagement
CYC2020070,2020,36,28,2,6,77.8,60,2.1,6,2,6,2020-08-19,2021-04-21,TRUE,TRUE,Moderate Engagement
CYC2020071,2020,33,29,1,3,87.9,59.5,2.1,5,3,4,2020-09-10,2021-04-22,TRUE,FALSE,Moderate Engagement
CYC2020072,2020,35,30,2,3,85.7,66.5,2.2,4,5,6,2020-09-17,2021-05-13,TRUE,TRUE,Moderate Engagement
CYC2020073,2020,31,27,1,3,87.1,59,2.2,2,1,2,2020-09-02,2021-03-31,TRUE,FALSE,Moderate Engagement
CYC2020074,2020,30,22,4,4,73.3,46,2.1,4,2,5,2020-09-16,2021-04-07,FALSE,FALSE,Low Engagement
CYC2020075,2020,31,23,0,8,74.2,51,2.2,4,2,6,2020-10-09,2021-05-07,FALSE,FALSE,Moderate Engagement
CYC2020076,2020,31,18,2,11,58.1,39.5,2.2,0,2,2,2020-09-05,2021-04-03,FALSE,FALSE,Low Engagement
CYC2020077,2020,36,26,1,9,72.2,56,2.2,2,2,4,2020-09-29,2021-06-01,FALSE,FALSE,Moderate Engagement
CYC2020078,2020,36,26,1,9,72.2,59,2.3,4,2,5,2020-09-18,2021-05-21,FALSE,FALSE,Moderate Engagement
CYC2020079,2020,32,24,3,5,75,55.5,2.3,5,3,3,2020-10-14,2021-05-19,TRUE,FALSE,Moderate Engagement
CYC2020080,2020,36,26,4,6,72.2,57.5,2.2,3,4,7,2020-09-20,2021-05-23,FALSE,FALSE,Moderate Engagement
CYC2020081,2020,36,25,1,10,69.4,57,2.3,3,4,5,2020-09-17,2021-05-20,FALSE,FALSE,Low Engagement
CYC2020082,2020,29,18,0,11,62.1,39,2.2,4,3,1,2020-09-06,2021-03-21,FALSE,FALSE,Low Engagement
CYC2020083,2020,29,21,3,5,72.4,40.5,1.9,6,0,2,2020-09-04,2021-03-19,FALSE,FALSE,Low Engagement
CYC2020084,2020,35,29,1,5,82.9,61.5,2.1,2,8,3,2020-10-15,2021-06-10,TRUE,TRUE,Moderate Engagement
CYC2020085,2020,30,24,1,5,80,53.5,2.2,3,4,2,2020-09-27,2021-04-18,TRUE,FALSE,Moderate Engagement
CYC2020086,2020,34,20,4,10,58.8,40.5,2,3,6,1,2020-09-14,2021-05-03,FALSE,FALSE,Low Engagement
CYC2020087,2020,34,25,1,8,73.5,51.5,2.1,3,3,6,2020-09-17,2021-05-06,FALSE,FALSE,Moderate Engagement
CYC2020088,2020,32,22,5,5,68.8,48.5,2.2,5,2,4,2020-08-30,2021-04-04,FALSE,FALSE,Low Engagement
CYC2020089,2020,29,20,3,6,69,44,2.2,5,1,1,2020-08-22,2021-03-06,FALSE,FALSE,Low Engagement
CYC2020090,2020,30,23,1,6,76.7,49,2.1,6,4,3,2020-10-12,2021-05-03,TRUE,FALSE,Low Engagement
CYC2020091,2020,28,24,1,3,85.7,50,2.1,5,3,4,2020-08-20,2021-02-25,TRUE,FALSE,Moderate Engagement
CYC2020092,2020,29,21,1,7,72.4,47,2.2,2,3,0,2020-08-30,2021-03-14,FALSE,FALSE,Low Engagement
CYC2020093,2020,29,19,2,8,65.5,40.5,2.1,3,3,1,2020-08-24,2021-03-08,FALSE,FALSE,Low Engagement
CYC2020094,2020,28,20,1,7,71.4,42.5,2.1,5,3,3,2020-09-05,2021-03-13,FALSE,FALSE,Low Engagement
CYC2020095,2020,33,27,1,5,81.8,58.5,2.2,6,2,6,2020-09-19,2021-05-01,TRUE,FALSE,Moderate Engagement
CYC2020096,2020,28,20,0,8,71.4,42,2.1,2,4,4,2020-10-11,2021-04-18,FALSE,FALSE,Low Engagement
CYC2020097,2020,29,21,0,8,72.4,44.5,2.1,2,3,5,2020-09-27,2021-04-11,FALSE,FALSE,Low Engagement
CYC2020098,2020,28,17,1,10,60.7,35,2.1,2,1,3,2020-08-30,2021-03-07,FALSE,FALSE,Low Engagement
CYC2020099,2020,32,28,1,3,87.5,57.5,2.1,6,5,4,2020-09-13,2021-04-18,TRUE,FALSE,Moderate Engagement
CYC2020100,2020,29,24,1,4,82.8,49.5,2.1,5,2,4,2020-10-11,2021-04-25,TRUE,FALSE,Low Engagement
CYC2020101,2020,28,24,0,4,85.7,53,2.2,2,2,3,2020-09-01,2021-03-09,TRUE,FALSE,Moderate Engagement
CYC2020102,2020,34,24,2,8,70.6,51.5,2.1,1,3,5,2020-08-24,2021-04-12,FALSE,FALSE,Moderate Engagement
CYC2020103,2020,32,23,2,7,71.9,46.5,2,4,2,4,2020-10-11,2021-05-16,FALSE,FALSE,Low Engagement
CYC2020104,2020,32,25,1,6,78.1,53.5,2.1,4,3,1,2020-09-28,2021-05-03,TRUE,FALSE,Moderate Engagement
CYC2020105,2020,30,26,0,4,86.7,55,2.1,4,4,4,2020-10-11,2021-05-02,TRUE,FALSE,Moderate Engagement
CYC2020106,2020,29,23,1,5,79.3,48.5,2.1,3,3,4,2020-09-04,2021-03-19,TRUE,FALSE,Low Engagement
CYC2020107,2020,33,25,3,5,75.8,50.5,2,7,1,4,2020-09-28,2021-05-10,TRUE,FALSE,Moderate Engagement
CYC2020108,2020,36,31,2,3,86.1,64,2.1,2,6,7,2020-09-14,2021-05-17,TRUE,TRUE,Moderate Engagement
CYC2020109,2020,30,22,2,6,73.3,45.5,2.1,5,2,1,2020-09-14,2021-04-05,FALSE,FALSE,Low Engagement
CYC2020110,2020,35,30,2,3,85.7,65,2.2,6,0,6,2020-08-28,2021-04-23,TRUE,TRUE,Moderate Engagement
CYC2020111,2020,33,24,0,9,72.7,49,2,2,5,3,2020-09-15,2021-04-27,FALSE,FALSE,Low Engagement
CYC2020112,2020,30,22,5,3,73.3,44.5,2,3,5,2,2020-09-10,2021-04-01,FALSE,FALSE,Low Engagement
CYC2020113,2020,36,27,2,7,75,62.5,2.3,4,6,3,2020-10-10,2021-06-12,TRUE,TRUE,Moderate Engagement
CYC2020114,2020,32,24,2,6,75,50,2.1,5,1,4,2020-08-18,2021-03-23,TRUE,FALSE,Moderate Engagement
CYC2020115,2020,34,24,2,8,70.6,49,2,2,2,3,2020-10-11,2021-05-30,FALSE,FALSE,Low Engagement
CYC2020116,2020,35,26,2,7,74.3,52,2,5,3,2,2020-09-06,2021-05-02,FALSE,FALSE,Moderate Engagement
CYC2020117,2020,30,24,1,5,80,54,2.2,3,4,3,2020-09-25,2021-04-16,TRUE,FALSE,Moderate Engagement
CYC2020118,2020,36,28,1,7,77.8,59.5,2.1,6,3,3,2020-09-13,2021-05-16,TRUE,FALSE,Moderate Engagement
CYC2020119,2020,33,26,2,5,78.8,57.5,2.2,4,3,5,2020-09-28,2021-05-10,TRUE,FALSE,Moderate Engagement
CYC2020120,2020,32,20,2,10,62.5,44.5,2.2,3,2,4,2020-10-11,2021-05-16,FALSE,FALSE,Low Engagement
CYC2020121,2020,34,28,0,6,82.4,58,2.1,6,3,1,2020-08-28,2021-04-16,TRUE,FALSE,Moderate Engagement
CYC2020122,2020,31,24,1,6,77.4,52.5,2.2,3,2,6,2020-08-18,2021-03-16,TRUE,FALSE,Moderate Engagement
CYC2020123,2020,30,20,2,8,66.7,42,2.1,3,2,2,2020-10-01,2021-04-22,FALSE,FALSE,Low Engagement
CYC2020124,2020,30,24,0,6,80,51.5,2.1,3,1,6,2020-09-17,2021-04-08,TRUE,FALSE,Moderate Engagement
CYC2020125,2020,31,21,2,8,67.7,47.5,2.3,3,5,5,2020-09-20,2021-04-18,FALSE,FALSE,Low Engagement
CYC2020126,2020,34,25,3,6,73.5,53.5,2.1,4,5,3,2020-09-23,2021-05-12,FALSE,FALSE,Moderate Engagement
CYC2020127,2020,31,25,0,6,80.6,51.5,2.1,3,3,3,2020-09-23,2021-04-21,TRUE,FALSE,Moderate Engagement
CYC2020128,2020,34,27,1,6,79.4,55.5,2.1,7,4,3,2020-09-01,2021-04-20,TRUE,FALSE,Moderate Engagement
CYC2020129,2020,28,20,2,6,71.4,43,2.1,2,3,2,2020-09-16,2021-03-24,FALSE,FALSE,Low Engagement
CYC2020130,2020,30,26,0,4,86.7,56.5,2.2,4,6,3,2020-09-27,2021-04-18,TRUE,FALSE,Moderate Engagement
CYC2020131,2020,36,27,3,6,75,58,2.1,3,4,6,2020-09-13,2021-05-16,TRUE,FALSE,Moderate Engagement
CYC2020132,2020,31,21,0,10,67.7,48,2.3,3,2,2,2020-09-27,2021-04-25,FALSE,FALSE,Low Engagement
CYC2020133,2020,33,24,1,8,72.7,52.5,2.2,5,1,5,2020-08-16,2021-03-28,FALSE,FALSE,Moderate Engagement
CYC2020134,2020,33,27,1,5,81.8,58.5,2.2,2,5,2,2020-09-25,2021-05-07,TRUE,FALSE,Moderate Engagement
CYC2020135,2020,35,30,0,5,85.7,59,2,10,3,2,2020-08-16,2021-04-11,TRUE,FALSE,Moderate Engagement
CYC2020136,2020,29,18,3,8,62.1,38,2.1,4,3,1,2020-09-13,2021-03-28,FALSE,FALSE,Low Engagement
CYC2020137,2020,29,22,2,5,75.9,45,2,3,3,1,2020-08-31,2021-03-15,TRUE,FALSE,Low Engagement
CYC2020138,2020,29,24,2,3,82.8,55,2.3,3,6,2,2020-09-17,2021-04-01,TRUE,FALSE,Moderate Engagement
CYC2020139,2020,30,22,3,5,73.3,45.5,2.1,4,1,2,2020-09-28,2021-04-19,FALSE,FALSE,Low Engagement
CYC2020140,2020,35,28,3,4,80,62,2.2,4,4,2,2020-08-19,2021-04-14,TRUE,TRUE,Moderate Engagement
CYC2020141,2020,30,22,2,6,73.3,49.5,2.2,3,4,2,2020-09-29,2021-04-20,FALSE,FALSE,Low Engagement
CYC2020142,2020,33,26,3,4,78.8,57.5,2.2,2,5,0,2020-10-13,2021-05-25,TRUE,FALSE,Moderate Engagement
CYC2020143,2020,36,29,3,4,80.6,64.5,2.2,2,4,3,2020-09-12,2021-05-15,TRUE,TRUE,Moderate Engagement
CYC2020144,2020,29,22,2,5,75.9,49.5,2.2,4,3,4,2020-10-12,2021-04-26,TRUE,FALSE,Low Engagement
CYC2020145,2020,28,21,2,5,75,49.5,2.4,5,3,3,2020-08-28,2021-03-05,TRUE,FALSE,Low Engagement
CYC2020146,2020,31,24,1,6,77.4,50.5,2.1,4,3,1,2020-08-23,2021-03-21,TRUE,FALSE,Moderate Engagement
CYC2020147,2020,28,24,1,3,85.7,53.5,2.2,5,4,3,2020-09-17,2021-03-25,TRUE,FALSE,Moderate Engagement
CYC2020148,2020,28,22,1,5,78.6,43,2,3,5,4,2020-09-12,2021-03-20,TRUE,FALSE,Low Engagement
CYC2020149,2020,36,27,0,9,75,56,2.1,5,3,4,2020-10-01,2021-06-03,TRUE,FALSE,Moderate Engagement
CYC2020150,2020,28,19,1,8,67.9,41.5,2.2,4,1,1,2020-09-14,2021-03-22,FALSE,FALSE,Low Engagement
CYC2020151,2020,29,23,2,4,79.3,47,2,3,1,1,2020-08-31,2021-03-15,TRUE,FALSE,Low Engagement
CYC2020152,2020,33,23,3,7,69.7,52,2.3,1,4,6,2020-09-09,2021-04-21,FALSE,FALSE,Low Engagement
CYC2020153,2020,28,19,2,7,67.9,39,2.1,5,3,0,2020-08-22,2021-02-27,FALSE,FALSE,Low Engagement
CYC2020154,2020,30,26,0,4,86.7,55.5,2.1,4,1,6,2020-08-29,2021-03-20,TRUE,FALSE,Moderate Engagement
CYC2020155,2020,35,27,1,7,77.1,57.5,2.1,1,6,7,2020-09-27,2021-05-23,TRUE,FALSE,Moderate Engagement
CYC2020156,2020,36,26,1,9,72.2,57.5,2.2,3,1,2,2020-09-15,2021-05-18,FALSE,FALSE,Moderate Engagement
CYC2020157,2020,30,21,2,7,70,41.5,2,3,5,2,2020-09-01,2021-03-23,FALSE,FALSE,Low Engagement
CYC2020158,2020,33,22,1,10,66.7,49.5,2.2,2,3,2,2020-09-08,2021-04-20,FALSE,FALSE,Low Engagement
CYC2020159,2020,33,26,1,6,78.8,58.5,2.2,4,4,6,2020-09-10,2021-04-22,TRUE,FALSE,Moderate Engagement
CYC2020160,2020,30,22,0,8,73.3,45,2,4,3,4,2020-08-24,2021-03-15,FALSE,FALSE,Low Engagement
CYC2020161,2020,29,21,1,7,72.4,45.5,2.2,2,3,5,2020-09-09,2021-03-24,FALSE,FALSE,Low Engagement
CYC2020162,2020,30,20,4,6,66.7,41.5,2.1,2,4,2,2020-09-14,2021-04-05,FALSE,FALSE,Low Engagement
CYC2020163,2020,35,25,4,6,71.4,54.5,2.2,6,3,5,2020-08-24,2021-04-19,FALSE,FALSE,Moderate Engagement
CYC2020164,2020,34,27,1,6,79.4,55,2,2,6,3,2020-10-09,2021-05-28,TRUE,FALSE,Moderate Engagement
CYC2020165,2020,33,24,0,9,72.7,53,2.2,3,2,3,2020-09-29,2021-05-11,FALSE,FALSE,Moderate Engagement
CYC2020166,2020,30,23,2,5,76.7,47,2,5,1,5,2020-09-15,2021-04-06,TRUE,FALSE,Low Engagement
CYC2020167,2020,29,16,2,11,55.2,34.5,2.2,2,2,2,2020-08-23,2021-03-07,FALSE,FALSE,Low Engagement
CYC2020168,2020,33,24,1,8,72.7,50.5,2.1,6,3,3,2020-08-16,2021-03-28,FALSE,FALSE,Moderate Engagement
CYC2020169,2020,36,26,2,8,72.2,53.5,2.1,4,5,4,2020-09-10,2021-05-13,FALSE,FALSE,Moderate Engagement
CYC2020170,2020,29,23,1,5,79.3,49,2.1,4,2,6,2020-10-08,2021-04-22,TRUE,FALSE,Low Engagement
CYC2020171,2020,33,19,2,12,57.6,40,2.1,2,2,3,2020-08-23,2021-04-04,FALSE,FALSE,Low Engagement
CYC2020172,2020,29,18,1,10,62.1,41,2.3,2,3,4,2020-09-29,2021-04-13,FALSE,FALSE,Low Engagement
CYC2020173,2020,28,23,1,4,82.1,49.5,2.2,6,3,4,2020-10-13,2021-04-20,TRUE,FALSE,Low Engagement
CYC2020174,2020,31,24,1,6,77.4,50.5,2.1,4,6,3,2020-09-21,2021-04-19,TRUE,FALSE,Moderate Engagement
CYC2020175,2020,33,24,3,6,72.7,52,2.2,6,3,3,2020-09-10,2021-04-22,FALSE,FALSE,Moderate Engagement
CYC2020176,2020,36,28,2,6,77.8,58.5,2.1,3,4,6,2020-09-29,2021-06-01,TRUE,FALSE,Moderate Engagement
CYC2020177,2020,35,29,1,5,82.9,63.5,2.2,3,4,4,2020-10-02,2021-05-28,TRUE,TRUE,Moderate Engagement
CYC2020178,2020,35,28,0,7,80,63,2.2,4,4,4,2020-08-23,2021-04-18,TRUE,TRUE,Moderate Engagement
CYC2020179,2020,32,26,1,5,81.2,57,2.2,2,3,3,2020-09-09,2021-04-14,TRUE,FALSE,Moderate Engagement
CYC2020180,2020,34,23,2,9,67.6,49.5,2.2,4,4,2,2020-09-10,2021-04-29,FALSE,FALSE,Low Engagement
CYC2020181,2020,34,23,2,9,67.6,48.5,2.1,2,4,3,2020-10-01,2021-05-20,FALSE,FALSE,Low Engagement
CYC2020182,2020,35,26,3,6,74.3,55,2.1,5,4,4,2020-09-25,2021-05-21,FALSE,FALSE,Moderate Engagement
CYC2020183,2020,36,27,1,8,75,57,2.1,6,2,3,2020-09-08,2021-05-11,TRUE,FALSE,Moderate Engagement
CYC2020184,2020,33,27,3,3,81.8,58.5,2.2,6,1,1,2020-09-12,2021-04-24,TRUE,FALSE,Moderate Engagement
CYC2020185,2020,34,23,3,8,67.6,49,2.1,2,6,2,2020-08-28,2021-04-16,FALSE,FALSE,Low Engagement
CYC2020186,2020,34,27,1,6,79.4,57.5,2.1,5,3,5,2020-09-26,2021-05-15,TRUE,FALSE,Moderate Engagement
CYC2020187,2020,36,27,3,6,75,56,2.1,1,3,5,2020-08-31,2021-05-03,TRUE,FALSE,Moderate Engagement
CYC2020188,2020,36,31,0,5,86.1,67,2.2,3,5,3,2020-09-03,2021-05-06,TRUE,TRUE,Moderate Engagement
CYC2020189,2020,35,21,3,11,60,46,2.2,5,2,5,2020-09-03,2021-04-29,FALSE,FALSE,Low Engagement
CYC2020190,2020,29,22,1,6,75.9,47,2.1,1,1,7,2020-09-25,2021-04-09,TRUE,FALSE,Low Engagement
CYC2020191,2020,33,26,2,5,78.8,53.5,2.1,6,2,4,2020-09-05,2021-04-17,TRUE,FALSE,Moderate Engagement
CYC2020192,2020,30,26,2,2,86.7,54,2.1,6,2,9,2020-09-15,2021-04-06,TRUE,FALSE,Moderate Engagement
CYC2020193,2020,34,23,2,9,67.6,46,2,4,3,2,2020-09-23,2021-05-12,FALSE,FALSE,Low Engagement
CYC2020194,2020,34,25,2,7,73.5,52,2.1,5,2,4,2020-09-06,2021-04-25,FALSE,FALSE,Moderate Engagement
CYC2020195,2020,33,25,3,5,75.8,55.5,2.2,1,5,4,2020-09-05,2021-04-17,TRUE,FALSE,Moderate Engagement
CYC2020196,2020,32,28,0,4,87.5,62,2.2,5,5,5,2020-10-09,2021-05-14,TRUE,TRUE,Moderate Engagement
CYC2020197,2020,33,28,3,2,84.8,58,2.1,8,1,2,2020-09-17,2021-04-29,TRUE,FALSE,Moderate Engagement
CYC2020198,2020,34,25,2,7,73.5,59.5,2.4,3,4,2,2020-09-06,2021-04-25,FALSE,FALSE,Moderate Engagement
